method,trial,bin,n_bin,coverage,mean_width
abs,26,4,39746,0.7349670407084989,2.3165544263071216
norm,26,0,39762,0.9351139278708315,0.9045962407142658
norm,26,1,40146,0.8922682209933742,1.39718734647335
norm,26,2,40171,0.9153618281845112,2.1964091199157636
norm,26,3,40175,0.9062601120099565,2.80802826724532
norm,26,4,39746,0.8953856991898556,3.5828674188228513
cqr,26,0,39762,0.9584779437654042,1.0292209672951549
cqr,26,1,40146,0.9206894833856424,1.523218129531683
cqr,26,2,40171,0.9178760797590302,2.15629320716731
cqr,26,3,40175,0.8869695084007467,2.606464777361757
cqr,26,4,39746,0.8758365621697781,3.161653167104354
abs,27,0,39762,0.999295810069916,2.47031021418837
abs,27,1,40146,0.9940965476012554,2.4703102141883706
abs,27,2,40171,0.9545692165990391,2.4703102141883706
abs,27,3,40175,0.8690976975731176,2.4703102141883706
abs,27,4,39746,0.7656367936396116,2.47031021418837
norm,27,0,39762,0.9339067451335445,0.9005947250433785
norm,27,1,40146,0.8906491306730434,1.3910068354227358
norm,27,2,40171,0.9140175748674417,2.186693221134133
norm,27,3,40175,0.9048662103298071,2.7956068480419805
norm,27,4,39746,0.8940522316711116,3.5670184693381493
cqr,27,0,39762,0.9692419898395453,1.0882863584166944
cqr,27,1,40146,0.9311512977631644,1.5822835206532222
cqr,27,2,40171,0.9258171317617186,2.2153585982888497
cqr,27,3,40175,0.8951586807716242,2.6655301684832966
cqr,27,4,39746,0.8830825743471041,3.2207185582258937
abs,28,0,39762,0.9990946129470348,2.338523504356036
abs,28,1,40146,0.9914810940068749,2.3385235043560355
abs,28,2,40171,0.9419232779866072,2.3385235043560355
abs,28,3,40175,0.8472184194150592,2.3385235043560355
abs,28,4,39746,0.7400744729029336,2.3385235043560355
norm,28,0,39762,0.9247774256828127,0.8683495397556926
norm,28,1,40146,0.8786678623025955,1.3412027760635346
norm,28,2,40171,0.9036369520300714,2.1084001486542774
norm,28,3,40175,0.8920721841941506,2.6955120348036554
norm,28,4,39746,0.8814723494188095,3.439303784508226
cqr,28,0,39762,0.95598812936975,1.017842723454148
cqr,28,1,40146,0.9176505753997908,1.5118398856906756
cqr,28,2,40171,0.9162828906425033,2.1449149633263036
cqr,28,3,40175,0.8854511512134412,2.59508653352075
cqr,28,4,39746,0.8745534141800433,3.150274923263348
abs,29,0,39762,0.998943715104874,2.2119534016648084
abs,29,1,40146,0.9874458227469736,2.2119534016648084
abs,29,2,40171,0.9267630877996564,2.2119534016648084
abs,29,3,40175,0.8233229620410704,2.2119534016648084
abs,29,4,39746,0.7129019272379611,2.2119534016648084
norm,29,0,39762,0.9220864141642775,0.8584764697786508
norm,29,1,40146,0.874508045633438,1.3259533997983004
norm,29,2,40171,0.9007492967563665,2.084427795063666
norm,29,3,40175,0.8880647168637212,2.6648642625355183
norm,29,4,39746,0.8773209882755497,3.400199155114045
cqr,29,0,39762,0.9236456918666063,0.9056764409421357
cqr,29,1,40146,0.890400039854531,1.3996736031786634
cqr,29,2,40171,0.8986582360409251,2.0327486808142914
cqr,29,3,40175,0.8679029247044182,2.482920251008738
cqr,29,4,39746,0.860967141347557,3.0381086407513354
abs,30,0,39762,0.9991700618681153,2.418860642878962
abs,30,1,40146,0.993125093409057,2.418860642878962
abs,30,2,40171,0.9494909262901098,2.418860642878962
abs,30,3,40175,0.8602862476664592,2.418860642878962
abs,30,4,39746,0.7558496452473205,2.418860642878962
norm,30,0,39762,0.9283989738946733,0.8800809194344484
norm,30,1,40146,0.8834254969361829,1.3593223906563283
norm,30,2,40171,0.9072714147021483,2.1368845797804434
norm,30,3,40175,0.8965276913503423,2.7319283322290393
norm,30,4,39746,0.8856740300910784,3.4857686891110435
cqr,30,0,39762,0.9254313163321765,0.9102923505961681
cqr,30,1,40146,0.8916953121107956,1.4042895128326955
cqr,30,2,40171,0.8993801498593512,2.0373645904683233
cqr,30,3,40175,0.868823895457374,2.48753616066277
cqr,30,4,39746,0.8615961354601721,3.0427245504053673
abs,31,0,39762,0.9990694633066747,2.287123462768821
abs,31,1,40146,0.9899865490958003,2.287123462768821
abs,31,2,40171,0.9357994573199572,2.2871234627688213
abs,31,3,40175,0.8382576228998133,2.287123462768821
