method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
norm,51,0.892095,2.063817079650201,2.0911314900342477,0.87605,,5e-05
cqr,51,0.90654,2.0639528642641207,0.077218408109682,0.8869584781141414,0.0,
abs,52,0.908845,2.3872434318641567,1.1936217159320777,,,
norm,52,0.90328,2.138520661038092,2.1668237657687968,0.8874,,5e-05
cqr,52,0.907225,2.0677533737872626,0.0791186628712528,0.8874334424918131,0.0,
abs,53,0.918455,2.4909151608871323,1.2454575804435657,,,
norm,53,0.920175,2.2690461378119253,2.2990767340307707,0.9051,,5e-05
cqr,53,0.911235,2.091393308740125,0.0909386303476839,0.8899582531310152,0.0,
abs,54,0.894545,2.2521650270157516,1.1260825135078765,,,
norm,54,0.90462,2.147342699470708,2.1757625629881043,0.888875,,5e-05
cqr,54,0.911265,2.09154026919241,0.09101211057382641,0.8899582531310152,0.0,
abs,55,0.89292,2.238249397566093,1.1191246987830463,,,
norm,55,0.90328,2.138487269716329,2.166789932516267,0.8874,,5e-05
cqr,55,0.90762,2.0699964416571115,0.08024019680617722,0.8876834237432193,0.0,
abs,56,0.903935,2.336828561254073,1.1684142806270372,,,
norm,56,0.894075,2.0760745698772367,2.103551206905128,0.87795,,5e-05
cqr,56,0.906225,2.0621558482817766,0.07631990011850975,0.8868334874884384,0.0,
abs,57,0.894595,2.2527516811195416,1.1263758405597712,,,
norm,57,0.914795,2.22368543398885,2.253115685878855,0.8995,,5e-05
cqr,57,0.904775,2.0547325317220313,0.07260824183863734,0.8860835437342199,0.0,
abs,58,0.897365,2.2769475627022593,1.1384737813511296,,,
norm,58,0.89764,2.1003881381334675,2.1281865627789722,0.881525,,5e-05
cqr,58,0.893255,1.9954083879626285,0.04294616995893574,0.8793840461965352,0.0,
abs,59,0.90538,2.3508869734754376,1.1754434867377181,,,
norm,59,0.9013,2.1254344162818666,2.153564325886326,0.88565,,5e-05
cqr,59,0.9042,2.0515673186744103,0.07102563531482653,0.8857335699822513,0.0,
abs,60,0.90213,2.3206648201559545,1.160332410077977,,,
norm,60,0.89574,2.087379053110344,2.1150053038308694,0.87975,,5e-05
cqr,60,0.90294,2.044318686824655,0.0674013193899487,0.884908631852611,0.0,
abs,61,0.902935,2.328032097105449,1.164016048552724,,,
norm,61,0.89692,2.0954277267503105,2.123160500852689,0.8808,,5e-05
cqr,61,0.88642,1.9629449131471333,0.026714432551188272,0.8745905942945721,0.0,
abs,62,0.904145,2.3390441920567024,1.169522096028351,,,
