model,trial,coverage,width
ridge,70,0.91996,2.3243020759262105
rf,70,0.904015,1.8021864731433723
gbm,70,0.90601,1.7985890394336186
mlp,70,0.912315,1.9108279782367823
constant,71,0.907785,3.008288193061385
ridge,71,0.90133,2.201319826016178
rf,71,0.914515,1.8622991740592942
gbm,71,0.89653,1.7492800134388307
mlp,71,0.901305,1.846567663705065
constant,72,0.90405,2.9812397923766074
ridge,72,0.867215,2.0146114528467067
rf,72,0.88688,1.714537007856264
gbm,72,0.876865,1.6541968112531014
mlp,72,0.89383,1.8052530209323352
constant,73,0.87846,2.8114798480922403
ridge,73,0.8984,2.1819721037589046
rf,73,0.90893,1.8298278547988887
gbm,73,0.891555,1.7241090846991254
mlp,73,0.87521,1.714544616717143
constant,74,0.86758,2.748314394762538
ridge,74,0.90667,2.233410047368265
rf,74,0.8734,1.6534758105259648
gbm,74,0.89218,1.727295144067769
mlp,74,0.899285,1.8361830148747664
constant,75,0.91763,3.087812599081307
ridge,75,0.905625,2.226727833391844
rf,75,0.89907,1.7748129420972558
gbm,75,0.89992,1.7658312384897255
mlp,75,0.904115,1.8626493512744728
constant,76,0.8895,2.8812407392713917
ridge,76,0.887095,2.1170856203503297
rf,76,0.864715,1.616835001474358
gbm,76,0.85607,1.568366879958305
mlp,76,0.8937,1.8046586745432394
constant,77,0.914525,3.061603481147343
ridge,77,0.92085,2.330602517301796
rf,77,0.91852,1.8856788694799638
gbm,77,0.91778,1.866667892302761
mlp,77,0.907555,1.8823361948001847
constant,78,0.915835,3.0715195228394068
ridge,78,0.897625,2.1776677266600823
rf,78,0.90161,1.7884240331111616
gbm,78,0.902975,1.7815160124345244
mlp,78,0.902455,1.8537729683631736
constant,79,0.90803,3.0106863422465286
ridge,79,0.91977,2.322774189045518
rf,79,0.91628,1.8726642078718498
gbm,79,0.90216,1.7775834349076916
mlp,79,0.913015,1.9159090366863645
constant,80,0.90254,2.9704790843563886
ridge,80,0.90057,2.19621030476087
rf,80,0.91263,1.851627443689109
gbm,80,0.899415,1.7630744902124107
mlp,80,0.913335,1.917771637890358
constant,81,0.91373,3.0558609499945897
ridge,81,0.9273,2.3776793238825107
rf,81,0.90124,1.7862309087934654
gbm,81,0.90308,1.7819993340280584
mlp,81,0.912835,1.9145258700115275
constant,82,0.9049,2.9872264723979614
ridge,82,0.90967,2.2529650398649412
rf,82,0.893765,1.748341803744716
gbm,82,0.89113,1.7215139682847729
mlp,82,0.914385,1.9236396908943443
constant,83,0.89893,2.943856317463207
ridge,83,0.91079,2.2611154340248554
rf,83,0.883585,1.699167645998455
gbm,83,0.8933,1.73274605458554
mlp,83,0.879095,1.7323997414315115
constant,84,0.894325,2.91313381257823
ridge,84,0.916685,2.3011962204037593
rf,84,0.888295,1.7209963590743984
gbm,84,0.893065,1.7317115396399771
mlp,84,0.88606,1.7671881633833089
constant,85,0.901985,2.9663834395727893
ridge,85,0.888885,2.12705034962159
rf,85,0.90057,1.7831495711708296
gbm,85,0.891685,1.724983603595555
mlp,85,0.89512,1.8127242695882717
constant,86,0.903815,2.979794109780073
ridge,86,0.919955,2.324247365395653
rf,86,0.90258,1.7945403813152867
gbm,86,0.918245,1.8694562035813642
mlp,86,0.920065,1.9597056880282533
constant,87,0.914355,3.0604114159989724
ridge,87,0.91188,2.268126056009156
rf,87,0.9144,1.8617047290204167
gbm,87,0.91144,1.8282983659530354
mlp,87,0.91742,1.9423791506339536
constant,88,0.87877,2.813313215356177
ridge,88,0.88999,2.1334768522038847
rf,88,0.88841,1.721600568050028
gbm,88,0.860045,1.583877380527018
mlp,88,0.8884,1.7780685330868848
constant,89,0.9169,3.0818095402723156
ridge,89,0.932215,2.4160033305833952
rf,89,0.90698,1.8189620339638548
gbm,89,0.89757,1.7548050165096087
mlp,89,0.9113,1.904902259962803
constant,90,0.916985,3.0824385260954896
ridge,90,0.90488,2.2218636118086033
rf,90,0.895755,1.758258729986819
gbm,90,0.891105,1.7212908873267923
mlp,90,0.916535,1.9366144851295921
constant,91,0.900145,2.953562309411214
ridge,91,0.896385,2.170491633921971
rf,91,0.90505,1.808018918746895
